epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.49587,3.37137,9.45832,2.95317,0.00058,0.26364,0.00045,0.00011,3.57341,6.10926,3.40053,0.00054,0.00054,0.00054
2,14.9511,2.71897,7.10215,2.21216,0.00046,0.20909,0.00029,7e-05,3.4378,6.08618,2.98664,0.00109637,0.00109637,0.00109637
3,22.045,2.73875,7.06849,2.16873,0.00046,0.1,0.00026,5e-05,3.57919,3.88773,3.2373,0.00164904,0.00164904,0.00164904
4,28.1966,2.63782,4.70651,2.13223,0.00023,0.00909,0.00012,1e-05,4.58346,5.97883,16.0204,0.0019802,0.0019802,0.0019802
5,34.3609,2.48246,4.38577,2.09717,0,0,0,0,5.43636,5.60634,28.24,0.0019736,0.0019736,0.0019736
6,40.5018,2.57453,4.27914,2.159,0.00015,0.00909,8e-05,4e-05,3.86386,3.82567,12.6324,0.001967,0.001967,0.001967
7,46.5663,2.59333,4.16375,2.13414,0.00115,0.23636,0.00105,0.00026,3.70316,4.24019,3.84277,0.0019604,0.0019604,0.0019604
8,53.3276,2.50914,4.17652,2.13169,0.00109,0.37273,0.00162,0.00042,3.23628,3.86967,2.73014,0.0019538,0.0019538,0.0019538
9,59.6235,2.4793,3.87064,2.12607,0.00043,0.13636,0.00038,0.0001,3.45278,4.55047,2.70391,0.0019472,0.0019472,0.0019472
10,65.9967,2.55687,3.96417,2.13126,0.00105,0.47273,0.00168,0.00043,3.22515,5.87225,2.53885,0.0019406,0.0019406,0.0019406
11,72.1955,2.4835,3.96375,2.11162,0.00212,0.58182,0.00762,0.00229,2.99346,3.61587,2.5245,0.001934,0.001934,0.001934
12,78.3377,2.48095,4.02161,2.12719,0.00968,0.15455,0.00702,0.00193,3.1147,4.39937,2.57788,0.0019274,0.0019274,0.0019274
13,85.2164,2.5399,3.75222,2.11471,0.00241,0.33636,0.00279,0.00076,3.26088,4.15991,2.62012,0.0019208,0.0019208,0.0019208
14,91.6426,2.45955,3.68864,2.06671,0.00161,0.56364,0.00857,0.00208,3.16917,3.54346,2.54356,0.0019142,0.0019142,0.0019142
15,98.2701,2.46726,3.67643,2.04891,0.01987,0.15455,0.00828,0.00201,2.97913,3.94563,2.41228,0.0019076,0.0019076,0.0019076
16,104.699,2.4253,3.55375,2.02582,0.03246,0.04545,0.0096,0.00286,3.13543,3.83923,2.51949,0.001901,0.001901,0.001901
17,110.868,2.41503,3.4088,1.99012,0.06845,0.03636,0.01523,0.00478,3.26869,4.42739,2.83024,0.0018944,0.0018944,0.0018944
18,117.775,2.33495,3.42488,1.95171,0.02048,0.05455,0.01245,0.00372,3.06864,3.89351,2.41237,0.0018878,0.0018878,0.0018878
19,123.84,2.33914,3.44002,1.97095,0.15668,0.06364,0.03233,0.00845,3.03476,3.63124,2.42666,0.0018812,0.0018812,0.0018812
20,129.949,2.38734,3.48614,2.01656,0.11135,0.03636,0.0291,0.00823,3.00368,3.57248,2.38527,0.0018746,0.0018746,0.0018746
21,136.106,2.27065,3.25108,1.94489,0.06829,0.08182,0.02395,0.00615,2.99543,3.58625,2.4071,0.001868,0.001868,0.001868
22,142.202,2.38188,3.26872,2.0081,0.03851,0.04545,0.02202,0.00606,3.00583,3.56691,2.34887,0.0018614,0.0018614,0.0018614
23,148.786,2.35131,3.14788,1.98878,0.0034,0.12727,0.00246,0.00085,3.28942,4.95369,2.5791,0.0018548,0.0018548,0.0018548
24,154.875,2.33338,3.14035,1.9502,0.11277,0.08182,0.0387,0.01055,2.87547,3.29989,2.3278,0.0018482,0.0018482,0.0018482
25,160.856,2.37827,3.2727,2.02541,0.0583,0.03636,0.02589,0.0079,2.94015,3.50052,2.40047,0.0018416,0.0018416,0.0018416
26,166.934,2.35454,3.20386,1.97088,0.08548,0.07273,0.0308,0.00795,3.00928,3.82293,2.39216,0.001835,0.001835,0.001835
27,173.091,2.40091,3.15869,1.98702,0.11413,0.03636,0.03693,0.01168,3.06162,3.64946,2.45325,0.0018284,0.0018284,0.0018284
28,179.651,2.33766,3.27666,1.93737,0.00645,0.53636,0.0243,0.00708,2.87134,3.53082,2.23126,0.0018218,0.0018218,0.0018218
29,185.66,2.37303,3.20813,1.99666,0.0774,0.07273,0.03411,0.00949,2.86169,3.45958,2.31567,0.0018152,0.0018152,0.0018152
30,191.591,2.32848,3.12086,1.94023,0.13064,0.05455,0.03838,0.01153,2.96702,3.68171,2.39355,0.0018086,0.0018086,0.0018086
31,197.615,2.26673,3.10515,1.942,0.07833,0.01818,0.03228,0.00993,3.0923,3.63032,2.53566,0.001802,0.001802,0.001802
32,203.676,2.27759,3.17184,1.91545,0.12215,0.08182,0.03561,0.01072,3.13819,3.58949,2.51231,0.0017954,0.0017954,0.0017954
33,209.957,2.24352,3.07281,1.92042,0.0484,0.24545,0.03249,0.00828,3.12157,3.38635,2.55763,0.0017888,0.0017888,0.0017888
34,216.513,2.25412,3.04557,1.95928,0.14761,0.13636,0.05738,0.01655,2.95031,3.0743,2.37592,0.0017822,0.0017822,0.0017822
35,222.59,2.22407,3.02295,1.95666,0.06908,0.10909,0.03168,0.00877,2.87516,3.27961,2.27743,0.0017756,0.0017756,0.0017756
36,228.838,2.26651,2.975,1.98216,0.10927,0.12727,0.04292,0.01176,3.02016,3.30694,2.42847,0.001769,0.001769,0.001769
37,235.231,2.28592,2.97116,1.98347,0.06013,0.02727,0.06077,0.01588,2.92664,2.93966,2.34528,0.0017624,0.0017624,0.0017624
38,241.472,2.2845,3.04235,1.9645,0.01224,0.33636,0.03629,0.00998,3.03387,3.93922,2.4718,0.0017558,0.0017558,0.0017558
39,248.398,2.23597,2.91043,1.95478,0.08303,0.04545,0.03213,0.00957,3.05261,3.69285,2.50853,0.0017492,0.0017492,0.0017492
40,254.696,2.24474,2.84205,1.97583,0.10689,0.12949,0.05663,0.01565,2.87052,3.1427,2.36185,0.0017426,0.0017426,0.0017426
41,260.968,2.1462,3.17343,1.85884,0.10706,0.04545,0.03122,0.00921,2.99527,3.40251,2.39462,0.001736,0.001736,0.001736
42,267.311,2.21647,2.92744,1.88607,0.16771,0.15455,0.08328,0.02066,2.86777,3.22592,2.28756,0.0017294,0.0017294,0.0017294
43,273.549,2.2839,2.99374,1.93564,0.19671,0.11818,0.07714,0.02574,2.90795,3.29282,2.30252,0.0017228,0.0017228,0.0017228
44,280.292,2.22628,2.82975,1.94287,0.08823,0.12727,0.05521,0.01552,2.89609,3.0196,2.32932,0.0017162,0.0017162,0.0017162
45,286.649,2.1556,2.92622,1.88388,0.14605,0.14545,0.06614,0.01781,2.88726,3.02386,2.38896,0.0017096,0.0017096,0.0017096
46,293.146,2.20029,2.85573,1.91339,0.02429,0.21818,0.03614,0.00892,3.07435,3.89326,2.50359,0.001703,0.001703,0.001703
47,299.506,2.20574,3.05701,1.89359,0.11895,0.2,0.05622,0.01531,2.84673,3.05913,2.35983,0.0016964,0.0016964,0.0016964
48,305.806,2.19592,2.8229,1.9199,0.09889,0.19091,0.05365,0.0152,2.97161,3.00011,2.44167,0.0016898,0.0016898,0.0016898
49,312.634,2.27313,2.75081,1.98618,0.13757,0.16364,0.0691,0.02077,2.84186,2.92404,2.28314,0.0016832,0.0016832,0.0016832
50,318.812,2.25289,2.86509,1.98139,0.08703,0.12727,0.03336,0.00962,3.04467,3.35323,2.60201,0.0016766,0.0016766,0.0016766
51,325.1,2.2079,2.78152,1.9075,0.27246,0.13636,0.09116,0.02979,2.79588,3.01338,2.19017,0.00167,0.00167,0.00167
52,331.276,2.25142,2.77464,1.92415,0.13839,0.12851,0.07609,0.01948,2.94749,3.20279,2.33538,0.0016634,0.0016634,0.0016634
53,337.482,2.21653,2.63537,1.88404,0.15885,0.07273,0.07025,0.02147,2.90165,3.219,2.34501,0.0016568,0.0016568,0.0016568
54,344.344,2.20688,2.7134,1.88753,0.13527,0.20909,0.08349,0.02249,2.83615,2.88531,2.30833,0.0016502,0.0016502,0.0016502
55,350.604,2.12146,2.8018,1.84638,0.10273,0.18182,0.05996,0.01519,2.99928,3.25504,2.47394,0.0016436,0.0016436,0.0016436
56,356.881,2.22492,2.81484,1.87064,0.16102,0.23636,0.08122,0.02329,2.84496,2.88765,2.31342,0.001637,0.001637,0.001637
57,363.061,2.1554,2.78904,1.85113,0.20281,0.20122,0.10063,0.02741,2.81059,2.96523,2.27727,0.0016304,0.0016304,0.0016304
58,369.237,2.21921,2.71246,1.9111,0.20175,0.21818,0.10596,0.02621,2.85506,2.93651,2.33459,0.0016238,0.0016238,0.0016238
59,376.154,2.22305,2.65174,1.91362,0.23169,0.23636,0.09827,0.02409,2.89755,3.00887,2.37186,0.0016172,0.0016172,0.0016172
60,382.352,2.2178,2.68504,1.85165,0.22154,0.15455,0.09709,0.03418,2.74217,2.74744,2.14273,0.0016106,0.0016106,0.0016106
61,388.665,2.22823,2.71974,1.84866,0.21105,0.23636,0.10993,0.0316,2.82161,2.92756,2.22031,0.001604,0.001604,0.001604
62,394.934,2.12232,2.96246,1.75352,0.12289,0.20909,0.08899,0.02268,2.78872,3.07672,2.22174,0.0015974,0.0015974,0.0015974
63,401.161,2.10151,2.74731,1.74132,0.11204,0.09091,0.06226,0.01594,2.89264,3.36527,2.30639,0.0015908,0.0015908,0.0015908
64,408.092,2.26526,2.79259,1.92694,0.14458,0.14545,0.09528,0.02978,2.71343,3.06896,2.18714,0.0015842,0.0015842,0.0015842
65,414.246,2.19044,2.72626,1.86068,0.17361,0.12727,0.06182,0.02296,2.9296,3.45066,2.37766,0.0015776,0.0015776,0.0015776
66,420.549,2.12782,2.77032,1.82477,0.16413,0.25455,0.08726,0.02547,2.82347,2.78819,2.24893,0.001571,0.001571,0.001571
67,426.794,2.1528,2.5996,1.8158,0.14198,0.17273,0.08622,0.02204,2.87837,2.855,2.32635,0.0015644,0.0015644,0.0015644
68,432.992,2.14951,2.58205,1.82047,0.1613,0.26364,0.0963,0.02797,2.65945,2.76459,2.16679,0.0015578,0.0015578,0.0015578
69,439.815,2.14194,2.57744,1.8328,0.11655,0.1835,0.07203,0.02058,2.80941,2.80166,2.2662,0.0015512,0.0015512,0.0015512
70,446.144,2.07502,2.51183,1.80567,0.12376,0.14545,0.06411,0.01965,2.89251,2.86307,2.40778,0.0015446,0.0015446,0.0015446
71,452.473,2.21299,2.57598,1.90694,0.16038,0.27273,0.08607,0.02546,2.76419,2.81513,2.27742,0.001538,0.001538,0.001538
72,458.795,2.2358,2.61013,1.89973,0.20281,0.07273,0.05796,0.01892,3.14503,3.93808,2.54469,0.0015314,0.0015314,0.0015314
73,465.04,2.11146,2.76223,1.86881,0.16073,0.19091,0.07999,0.02487,2.76956,3.01928,2.28658,0.0015248,0.0015248,0.0015248
74,471.806,2.16098,2.5686,1.90863,0.15297,0.20909,0.09009,0.03034,2.82085,2.82182,2.29391,0.0015182,0.0015182,0.0015182
75,478.059,2.1861,2.7045,1.87706,0.20729,0.20683,0.11945,0.03359,2.78121,2.85732,2.26289,0.0015116,0.0015116,0.0015116
76,484.143,2.14963,2.6607,1.90132,0.11022,0.11818,0.0603,0.01868,2.94097,3.28648,2.3138,0.001505,0.001505,0.001505
77,490.209,2.12666,2.50673,1.83029,0.08476,0.06906,0.04729,0.01273,2.80059,3.5922,2.18745,0.0014984,0.0014984,0.0014984
78,496.333,2.15611,2.54176,1.8206,0.19307,0.18182,0.08218,0.02275,2.97326,3.2816,2.49673,0.0014918,0.0014918,0.0014918
79,502.637,2.21594,2.67191,1.91631,0.11327,0.20909,0.05827,0.01759,2.82251,2.9861,2.31775,0.0014852,0.0014852,0.0014852
80,508.621,2.15513,2.50423,1.87146,0.2212,0.17273,0.12785,0.04234,2.73025,3.04604,2.25065,0.0014786,0.0014786,0.0014786
81,514.655,2.03127,2.5146,1.77108,0.1498,0.20909,0.10121,0.02847,2.71355,2.89779,2.20111,0.001472,0.001472,0.001472
82,520.684,2.2552,2.40529,1.93049,0.18799,0.23636,0.10748,0.03016,2.65959,2.76869,2.16111,0.0014654,0.0014654,0.0014654
83,526.751,2.12917,2.53729,1.88015,0.15998,0.11773,0.05483,0.01478,2.9577,3.63344,2.42615,0.0014588,0.0014588,0.0014588
84,532.868,2.11376,2.51907,1.82647,0.13977,0.15455,0.07473,0.02017,2.79759,3.05971,2.29746,0.0014522,0.0014522,0.0014522
85,539.604,2.17978,2.64463,1.84441,0.16431,0.13764,0.07323,0.01961,2.82987,3.28969,2.27803,0.0014456,0.0014456,0.0014456
86,545.598,2.15946,2.56321,1.88271,0.1299,0.27273,0.07487,0.02037,2.72278,2.90754,2.17589,0.001439,0.001439,0.001439
87,551.654,2.13059,2.40483,1.8525,0.14022,0.22727,0.07888,0.02352,2.71877,2.97883,2.15831,0.0014324,0.0014324,0.0014324
88,557.718,2.0735,2.42639,1.80564,0.21072,0.26942,0.13765,0.03939,2.6641,2.72348,2.12225,0.0014258,0.0014258,0.0014258
89,563.557,2.09693,2.38604,1.81264,0.24343,0.17273,0.10752,0.02904,2.68616,2.70334,2.1675,0.0014192,0.0014192,0.0014192
90,570.151,2.1883,2.54041,1.86824,0.18898,0.16364,0.09074,0.02789,2.7955,3.05828,2.26248,0.0014126,0.0014126,0.0014126
91,576.187,2.13012,2.44357,1.79864,0.16221,0.13636,0.06458,0.01847,2.90732,3.06565,2.36215,0.001406,0.001406,0.001406
92,582.229,2.23352,2.50966,1.91324,0.18549,0.22727,0.11136,0.03436,2.75307,2.76336,2.21633,0.0013994,0.0013994,0.0013994
93,588.376,2.02493,2.6306,1.75843,0.23854,0.17089,0.09444,0.02594,2.83769,3.253,2.23938,0.0013928,0.0013928,0.0013928
94,594.416,2.17559,2.37364,1.85322,0.19155,0.13357,0.08279,0.02349,2.90227,3.60726,2.37424,0.0013862,0.0013862,0.0013862
95,601.147,2.05815,2.32027,1.78788,0.12128,0.22727,0.06829,0.02297,2.77773,2.88689,2.29405,0.0013796,0.0013796,0.0013796
96,607.34,2.01588,2.40324,1.71842,0.16479,0.15455,0.09197,0.02329,2.85718,2.86159,2.38386,0.001373,0.001373,0.001373
97,613.471,2.00228,2.3598,1.74715,0.1805,0.20909,0.08305,0.02347,2.86329,2.88226,2.41102,0.0013664,0.0013664,0.0013664
98,619.571,2.16938,2.40192,1.81152,0.20928,0.2,0.10453,0.03243,2.76765,2.77038,2.25694,0.0013598,0.0013598,0.0013598
99,625.67,2.00163,2.27167,1.7663,0.20312,0.24545,0.11804,0.03032,2.75387,2.78369,2.23,0.0013532,0.0013532,0.0013532
100,632.005,2.00674,2.33229,1.77032,0.24357,0.20909,0.12593,0.03943,2.69355,2.85927,2.14173,0.0013466,0.0013466,0.0013466
101,638.112,2.00653,2.41951,1.75763,0.13887,0.10909,0.05516,0.01338,2.85531,3.24127,2.2288,0.00134,0.00134,0.00134
102,644.271,2.06716,2.28665,1.81303,0.19372,0.14545,0.1195,0.03284,2.8849,3.0457,2.35394,0.0013334,0.0013334,0.0013334
103,650.437,2.06182,2.34949,1.76521,0.15812,0.17273,0.07869,0.02454,2.85213,2.99717,2.34097,0.0013268,0.0013268,0.0013268
104,656.642,2.01096,2.34757,1.74319,0.20496,0.2,0.11714,0.03137,2.72373,2.67012,2.20046,0.0013202,0.0013202,0.0013202
105,663.067,2.02867,2.21434,1.77291,0.17057,0.21818,0.10003,0.03006,2.69233,2.90287,2.19574,0.0013136,0.0013136,0.0013136
106,669.43,1.98388,2.32022,1.72062,0.18023,0.19091,0.10658,0.02865,2.8775,3.11937,2.34251,0.001307,0.001307,0.001307
107,675.601,1.99665,2.33887,1.7551,0.16993,0.19091,0.10522,0.02988,2.74742,2.82954,2.21139,0.0013004,0.0013004,0.0013004
108,681.7,1.9982,2.27873,1.72375,0.13653,0.26364,0.09366,0.0263,2.80103,2.90718,2.19319,0.0012938,0.0012938,0.0012938
109,687.934,2.07292,2.30032,1.78126,0.15551,0.22727,0.08988,0.02381,2.76965,2.80689,2.21868,0.0012872,0.0012872,0.0012872
110,694.015,2.05245,2.2697,1.78002,0.23758,0.16364,0.12514,0.03642,2.78788,2.74368,2.28904,0.0012806,0.0012806,0.0012806
111,700.858,2.01983,2.28669,1.81256,0.14658,0.13636,0.05838,0.0134,3.00348,3.22103,2.63759,0.001274,0.001274,0.001274
112,706.949,2.01705,2.33336,1.75487,0.14784,0.22398,0.0948,0.02577,2.99216,2.65416,2.52126,0.0012674,0.0012674,0.0012674
113,713.029,1.98195,2.2192,1.75393,0.16536,0.19091,0.11465,0.03142,2.7509,2.85111,2.2036,0.0012608,0.0012608,0.0012608
114,719.144,2.11302,2.32852,1.83901,0.18874,0.23636,0.13357,0.03743,2.79818,3.02106,2.3357,0.0012542,0.0012542,0.0012542
115,725.167,1.96994,2.15853,1.76464,0.25042,0.20909,0.16766,0.03835,2.80826,2.87889,2.33044,0.0012476,0.0012476,0.0012476
116,731.703,2.01414,2.15451,1.79066,0.22132,0.21448,0.12335,0.02892,2.92878,2.8163,2.48294,0.001241,0.001241,0.001241
117,737.757,2.13638,2.24902,1.82613,0.20027,0.2,0.12745,0.03159,2.89802,3.04585,2.30307,0.0012344,0.0012344,0.0012344
