epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.0336,3.63152,5.0564,2.72949,0.00078,0.15464,0.00052,0.00012,3.6156,4.98208,2.7133,0.0004,0.0004,0.0004
2,7.60021,3.16923,4.31797,2.28116,0.00058,0.10309,0.00039,0.0001,3.29005,4.68808,3.19914,0.000815941,0.000815941,0.000815941
3,11.2013,3.02436,4.0378,2.14637,0.00125,0.24742,0.001,0.00033,3.07021,4.04671,2.45616,0.00122772,0.00122772,0.00122772
4,14.8928,3.04283,3.90335,2.13065,0.00156,0.30928,0.00109,0.00034,3.10526,3.93097,2.42119,0.00163535,0.00163535,0.00163535
5,18.3507,3.02318,3.9703,2.16792,0.00769,0.07216,0.00282,0.00086,3.07261,4.57979,2.46398,0.0019604,0.0019604,0.0019604
6,21.9377,2.99428,3.75304,2.12794,0.00576,0.20619,0.00274,0.00083,3.44041,15.6944,2.83201,0.0019505,0.0019505,0.0019505
7,25.4605,2.97379,3.68419,2.06479,0.00208,0.41237,0.00273,0.0007,3.28093,3.92516,2.55697,0.0019406,0.0019406,0.0019406
8,29.2723,2.9588,3.53702,2.07161,0.01481,0.04124,0.00581,0.00142,3.2218,4.07104,2.60086,0.0019307,0.0019307,0.0019307
9,33.0113,2.90514,3.58948,2.07003,0.00345,0.57732,0.00592,0.00182,3.00261,3.67672,2.54809,0.0019208,0.0019208,0.0019208
10,36.8214,2.93217,3.49963,2.01779,0.00993,0.03093,0.00676,0.00165,3.04021,3.80792,2.31226,0.0019109,0.0019109,0.0019109
11,40.4527,2.87426,3.38824,2.03303,0.00308,0.60825,0.0118,0.003,2.96886,3.40004,2.2859,0.001901,0.001901,0.001901
12,43.9201,2.82906,3.32948,2.03099,0.06417,0.03093,0.01819,0.00547,2.92864,3.3029,2.09735,0.0018911,0.0018911,0.0018911
13,47.5823,2.83572,3.26224,2.01364,0.07859,0.04124,0.00918,0.0025,2.96672,3.94417,2.24875,0.0018812,0.0018812,0.0018812
14,51.0751,2.86156,3.25163,2.0327,0.04998,0.06186,0.02132,0.00552,2.78631,3.48228,2.10538,0.0018713,0.0018713,0.0018713
15,54.5773,2.74749,3.20863,1.98442,0.08146,0.02062,0.02648,0.00685,2.83199,3.23472,2.18106,0.0018614,0.0018614,0.0018614
