epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.34635,3.51404,5.47399,2.80347,5e-05,0.01031,3e-05,1e-05,3.63272,5.1274,3.55906,0.0004,0.0004,0.0004
2,10.3452,3.01947,4.62856,2.38667,0.00109,0.21649,0.00071,0.00021,3.21626,4.99698,2.93776,0.000811882,0.000811882,0.000811882
3,14.4402,2.96615,4.39024,2.22019,0.00135,0.26804,0.0009,0.00025,3.00423,4.64831,2.47249,0.00121545,0.00121545,0.00121545
4,18.4674,2.96568,4.14619,2.21724,0.00167,0.3299,0.00134,0.00041,3.05475,4.31573,2.61033,0.0016107,0.0016107,0.0016107
5,22.7687,2.90746,4.16171,2.23704,0.00135,0.26804,0.0009,0.00026,3.01847,3.87209,2.85778,0.0019208,0.0019208,0.0019208
6,26.8481,2.91073,3.94759,2.18186,0.00104,0.20619,0.00107,0.00025,3.02964,3.78877,2.87352,0.001901,0.001901,0.001901
7,30.8072,2.86082,3.88097,2.17786,0.00187,0.37113,0.00158,0.00032,2.93852,4.0301,2.59673,0.0018812,0.0018812,0.0018812
8,34.7349,2.83078,3.61451,2.1652,0.00141,0.27835,0.00352,0.00073,2.81435,4.21104,2.27819,0.0018614,0.0018614,0.0018614
9,38.7856,2.76303,3.693,2.12619,0.00063,0.12371,0.00115,0.00022,3.29606,4.24856,2.93352,0.0018416,0.0018416,0.0018416
10,42.7856,2.80453,3.61002,2.10578,0.00265,0.38144,0.0033,0.00126,3.07358,3.88446,3.32749,0.0018218,0.0018218,0.0018218
11,46.8191,2.71819,3.42526,2.11505,0.00496,0.41237,0.00823,0.00245,2.91834,3.54604,2.31969,0.001802,0.001802,0.001802
12,50.8596,2.78764,3.4684,2.11552,0.02836,0.09278,0.00959,0.00284,2.80036,3.70375,2.22142,0.0017822,0.0017822,0.0017822
13,55.1201,2.75465,3.37177,2.08551,0.01769,0.07216,0.00903,0.00226,2.80193,3.84325,2.33159,0.0017624,0.0017624,0.0017624
14,59.2194,2.78065,3.34432,2.14139,0.06164,0.08247,0.02788,0.00602,2.8501,3.59811,2.37575,0.0017426,0.0017426,0.0017426
15,63.2359,2.70995,3.23553,2.16631,0.10608,0.07216,0.03092,0.00877,2.75759,4.20508,2.39451,0.0017228,0.0017228,0.0017228
16,67.2494,2.70748,3.24695,2.14235,0.05553,0.06186,0.01553,0.00443,2.78618,3.49908,2.33193,0.001703,0.001703,0.001703
17,71.2704,2.68554,3.16974,2.1389,0.22301,0.02062,0.02047,0.00807,2.91489,3.6389,2.23171,0.0016832,0.0016832,0.0016832
18,75.2306,2.62354,3.11838,2.04835,0.06976,0.08247,0.02101,0.00546,2.7691,3.22916,2.18039,0.0016634,0.0016634,0.0016634
19,79.3147,2.6963,3.11638,2.13902,0.0872,0.1134,0.05049,0.01484,2.77937,3.24083,2.27128,0.0016436,0.0016436,0.0016436
20,83.3067,2.60636,3.01421,2.08118,0.06405,0.06186,0.02055,0.00539,2.90055,3.58444,2.31594,0.0016238,0.0016238,0.0016238
21,87.5203,2.56049,3.079,2.01395,0.05755,0.05155,0.0238,0.00757,2.82767,3.24537,2.10865,0.001604,0.001604,0.001604
