target,feature,importance
lesion_heavyCalcification,kurtosis,4.651129147515399
lesion_heavyCalcification,lbp_mean,2.280694729505696
lesion_heavyCalcification,lbp_std,3.5787467542761626
lesion_heavyCalcification,gradient_mean,7.0670895790897585
lesion_heavyCalcification,gradient_std,2.8593327584964037
lesion_heavyCalcification,gradient_max,0.9643732713180075
lesion_heavyCalcification,object_area,5.50115587024641
lesion_heavyCalcification,object_perimeter,5.411115216386916
lesion_heavyCalcification,circularity,4.050009730596818
lesion_heavyCalcification,centroid_x,3.56957260120242
lesion_heavyCalcification,centroid_y,5.94969890657037
lesion_heavyCalcification,compactness,4.928904348623034
lesion_heavyCalcification,quad_0_mean,0.30708244978969057
lesion_heavyCalcification,quad_0_std,1.6573571371977482
lesion_heavyCalcification,quad_1_mean,3.849029025129382
lesion_heavyCalcification,quad_1_std,4.967745849873389
lesion_heavyCalcification,quad_2_mean,3.1664914049730792
lesion_heavyCalcification,quad_2_std,2.250566257263277
lesion_heavyCalcification,quad_3_mean,2.817157802971766
lesion_heavyCalcification,quad_3_std,4.213079207144095
lesion_heavyCalcification,center_mean,1.914747273033231
lesion_heavyCalcification,periphery_mean,1.3899424874860373
lesion_heavyCalcification,center_periphery_ratio,2.469250703033906
lesion_thrombus,mean_intensity,1.2859414209588464
lesion_thrombus,std_intensity,2.9841950878552432
lesion_thrombus,median_intensity,0.17966181999989594
lesion_thrombus,min_intensity,3.4491808022014716
lesion_thrombus,max_intensity,1.1329217131666776
lesion_thrombus,intensity_range,2.129409933596091
lesion_thrombus,p25_intensity,0.8130305824187738
lesion_thrombus,p75_intensity,1.2163307394111886
lesion_thrombus,iqr_intensity,0.49519693964179073
lesion_thrombus,skewness,1.6517638780122381
lesion_thrombus,kurtosis,5.821273982768483
lesion_thrombus,lbp_mean,5.096849372642474
lesion_thrombus,lbp_std,5.345952678989007
lesion_thrombus,gradient_mean,1.9760673532881268
lesion_thrombus,gradient_std,8.459841761442522
lesion_thrombus,gradient_max,1.8094959460958835
lesion_thrombus,object_area,2.694629279284977
lesion_thrombus,object_perimeter,3.5540726953387582
lesion_thrombus,circularity,4.1767783947822785
lesion_thrombus,centroid_x,2.1428568053774173
lesion_thrombus,centroid_y,7.58681188696674
lesion_thrombus,compactness,3.529659877287883
lesion_thrombus,quad_0_mean,1.156443611922466
lesion_thrombus,quad_0_std,3.2555408377556034
lesion_thrombus,quad_1_mean,3.670090616527056
lesion_thrombus,quad_1_std,2.818830283966959
