epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,781.859,3.10326,4.39097,2.12322,0.00159,0.21649,0.00126,0.00035,3.40181,4.64138,2.4264,0.0017096,0.0017096,0.0017096
46,799.359,3.05602,4.18561,2.13102,0.00238,0.36082,0.00407,0.00126,2.97527,3.92614,2.12125,0.001703,0.001703,0.001703
47,816.59,3.06157,4.13845,2.13057,0.00163,0.48454,0.00207,0.0006,2.94969,4.08939,2.09626,0.0016964,0.0016964,0.0016964
48,833.568,3.15998,4.21411,2.21006,0.0025,0.05155,0.00133,0.00019,3.5244,5.45633,2.53972,0.0016898,0.0016898,0.0016898
49,851.12,3.06255,4.21061,2.09937,0.00151,0.46392,0.00257,0.00097,3.01239,4.15484,2.1143,0.0016832,0.0016832,0.0016832
50,868.223,3.14382,4.17903,2.12479,0.00146,0.51546,0.00216,0.00064,3.03851,4.08505,2.20694,0.0016766,0.0016766,0.0016766
51,885.766,3.14838,4.13368,2.12416,0.00153,0.41237,0.00156,0.00045,2.9782,4.21675,2.10031,0.00167,0.00167,0.00167
52,902.785,3.02249,4.26247,2.09213,0.00224,0.21649,0.00167,0.00058,2.99788,4.52825,2.16567,0.0016634,0.0016634,0.0016634
53,920.395,3.02394,4.15423,2.11799,0.00109,0.45361,0.00122,0.00034,3.26571,4.40285,2.65421,0.0016568,0.0016568,0.0016568
54,937.502,2.98747,4.14569,2.08048,0.00167,0.45361,0.00203,0.00069,2.94289,4.19674,2.09567,0.0016502,0.0016502,0.0016502
55,954.926,3.0279,3.98825,2.06788,0.00147,0.54639,0.003,0.00081,2.87829,3.76993,2.01265,0.0016436,0.0016436,0.0016436
56,972.118,2.93888,4.03831,2.00369,0.00128,0.61856,0.0015,0.00044,2.87791,3.91867,2.05296,0.001637,0.001637,0.001637
57,990.589,3.13039,4.16081,2.14687,0.00187,0.5567,0.003,0.00091,2.93865,3.93159,2.02737,0.0016304,0.0016304,0.0016304
58,1007.65,3.11641,4.20724,2.16584,0.00178,0.29897,0.00153,0.00056,3.06201,4.33165,2.13024,0.0016238,0.0016238,0.0016238
59,1024.67,2.97191,4.01012,2.0537,0.00149,0.57732,0.00434,0.0012,2.95816,4.00772,2.0879,0.0016172,0.0016172,0.0016172
60,1042.22,3.07511,4.10178,2.11981,0.00126,0.43299,0.00138,0.00036,3.29259,4.2743,2.8159,0.0016106,0.0016106,0.0016106
61,1059.43,2.94797,4.07202,2.02947,0.00208,0.36082,0.00276,0.00103,3.08428,4.5109,2.12006,0.001604,0.001604,0.001604
62,1076.8,3.04806,4.01661,2.04282,0.00214,0.06186,0.00126,0.00026,3.21367,5.31449,2.29762,0.0015974,0.0015974,0.0015974
63,1093.75,2.99809,4.1459,2.01344,0.00117,0.10309,0.00077,0.0002,3.27395,5.25511,2.32644,0.0015908,0.0015908,0.0015908
64,1111.32,3.11386,4.149,2.07015,0.0018,0.29897,0.00247,0.00069,3.28016,4.72318,2.40953,0.0015842,0.0015842,0.0015842
65,1128.3,2.97103,4.29586,2.05041,0.00208,0.4433,0.00296,0.00076,3.027,4.08663,2.13117,0.0015776,0.0015776,0.0015776
66,1145.64,2.96713,4.05134,2.07029,0.00082,0.05155,0.00048,0.00016,3.29241,4.92818,2.4074,0.001571,0.001571,0.001571
67,1162.62,2.93027,4.1408,2.09045,0.00143,0.34021,0.00306,0.0009,3.16651,4.47779,2.3666,0.0015644,0.0015644,0.0015644
68,1179.95,3.02629,4.20313,2.09759,0.00155,0.40206,0.0023,0.0007,3.10789,4.19342,2.29806,0.0015578,0.0015578,0.0015578
69,1196.96,2.99275,4.1555,2.01569,0.00164,0.05155,0.0009,0.00039,3.36006,5.43814,2.3868,0.0015512,0.0015512,0.0015512
70,1214.5,3.00868,3.95648,2.05308,0.00142,0.57732,0.00199,0.00056,2.86718,4.00807,2.00099,0.0015446,0.0015446,0.0015446
71,1231.46,2.92535,4.03296,2.05231,0.00172,0.4433,0.00278,0.00074,3.02702,4.29501,2.12695,0.001538,0.001538,0.001538
72,1248.53,2.93224,4.13659,2.07778,0.00168,0.62887,0.00335,0.00087,2.96556,3.88365,2.05592,0.0015314,0.0015314,0.0015314
73,1265.37,3.06927,4.34199,2.0816,0.00163,0.41237,0.00318,0.00084,3.04272,4.1587,2.13888,0.0015248,0.0015248,0.0015248
74,1282.27,2.99566,4.07467,2.07172,0.00139,0.56701,0.00245,0.00065,3.12323,4.103,2.28487,0.0015182,0.0015182,0.0015182
75,1299.64,3.02532,4.02557,2.06961,0.00138,0.57732,0.00219,0.00055,3.08832,4.45539,2.28102,0.0015116,0.0015116,0.0015116
76,1316.42,3.07851,4.1475,2.09774,0.00203,0.3299,0.00263,0.00073,2.93546,4.29327,2.0818,0.001505,0.001505,0.001505
77,1333.78,2.89399,4.08207,2.01742,0.00222,0.10309,0.00145,0.00048,3.25034,4.97536,2.25183,0.0014984,0.0014984,0.0014984
78,1350.74,2.9403,3.92847,1.99669,0.00155,0.31959,0.00187,0.00058,3.12174,4.41799,2.20344,0.0014918,0.0014918,0.0014918
79,1368.2,3.0339,3.99711,2.04785,0.00162,0.50515,0.00298,0.00093,2.84777,3.96637,2.00733,0.0014852,0.0014852,0.0014852
80,1385.38,2.89181,4.00133,1.98841,0.00137,0.52577,0.0067,0.00115,3.11958,4.42069,2.22059,0.0014786,0.0014786,0.0014786
81,1403.09,2.9851,4.00307,2.05814,0.00222,0.09278,0.00132,0.00041,3.39541,5.0042,2.37473,0.001472,0.001472,0.001472
82,1420.29,2.93603,3.88886,2.03647,0.00223,0.29897,0.00287,0.00094,3.05479,4.59136,2.15504,0.0014654,0.0014654,0.0014654
83,1437.81,2.98798,4.11237,2.06182,0.00128,0.53608,0.00236,0.00054,2.98856,4.26997,2.12841,0.0014588,0.0014588,0.0014588
84,1454.84,2.79022,4.11564,1.95461,0.00216,0.31959,0.00268,0.00086,3.17588,4.45428,2.2495,0.0014522,0.0014522,0.0014522
85,1473.12,2.97419,3.94608,2.02716,0.00141,0.62887,0.00257,0.00059,2.88117,4.38196,2.02087,0.0014456,0.0014456,0.0014456
86,1490.39,2.85341,3.99411,2.00605,0.00157,0.59794,0.00548,0.00125,2.85895,3.93108,2.05588,0.001439,0.001439,0.001439
87,1507.69,2.97174,3.96123,2.08613,0.00154,0.61856,0.00555,0.00154,2.89326,3.96089,2.06307,0.0014324,0.0014324,0.0014324
88,1525.63,3.01478,4.06645,2.04898,0.0014,0.56701,0.00531,0.00108,2.93365,4.19718,2.06614,0.0014258,0.0014258,0.0014258
89,1542.83,2.88571,3.9069,2.0428,0.0018,0.5567,0.01163,0.00201,2.84787,4.0227,2.07378,0.0014192,0.0014192,0.0014192
90,1560.68,2.79412,4.14136,1.96229,0.00186,0.49485,0.00396,0.00099,2.93567,4.0923,2.05369,0.0014126,0.0014126,0.0014126
91,1577.67,2.84431,3.89481,2.00589,0.00176,0.5567,0.00363,0.001,2.93789,4.18641,2.07277,0.001406,0.001406,0.001406
92,1595.38,3.01311,3.93022,2.09431,0.00396,0.24742,0.00374,0.00097,2.96516,4.44754,2.16592,0.0013994,0.0013994,0.0013994
93,1612.67,2.92721,3.93839,2.07791,0.00164,0.68041,0.00702,0.00179,2.7384,3.92608,2.03302,0.0013928,0.0013928,0.0013928
94,1630.39,2.84182,3.92034,2.05236,0.00143,0.58763,0.00663,0.00128,2.82076,4.17284,2.03579,0.0013862,0.0013862,0.0013862
95,1647.72,2.92681,3.9168,2.04712,0.00164,0.43299,0.00591,0.00164,2.85487,4.29999,2.1129,0.0013796,0.0013796,0.0013796
96,1665.29,2.87386,4.00336,2.03934,0.00195,0.42268,0.00309,0.00083,3.09149,4.3617,2.21662,0.001373,0.001373,0.001373
97,1682.58,2.94665,4.02931,2.0607,0.00204,0.61856,0.00935,0.0027,2.81385,3.96095,2.02126,0.0013664,0.0013664,0.0013664
98,1700.23,2.86028,3.81512,2.01638,0.00231,0.61856,0.00498,0.00133,2.9312,4.03527,2.05475,0.0013598,0.0013598,0.0013598
99,1717.78,2.85569,3.8472,1.94934,0.0025,0.49485,0.01156,0.00203,3.02509,4.10697,2.13607,0.0013532,0.0013532,0.0013532
100,1734.77,2.7723,3.93991,1.96709,0.00152,0.58763,0.01907,0.00403,2.78633,4.5147,2.05946,0.0013466,0.0013466,0.0013466
101,1752.51,2.73546,3.90017,1.91595,0.00185,0.53608,0.006,0.00148,2.84321,3.99725,2.03486,0.00134,0.00134,0.00134
102,1769.57,2.81137,3.69555,1.99585,0.00183,0.56701,0.00605,0.0016,2.93212,4.06648,2.08944,0.0013334,0.0013334,0.0013334
103,1786.99,2.83406,4.01705,2.00944,0.00227,0.49485,0.00615,0.00176,2.96568,4.29944,2.13879,0.0013268,0.0013268,0.0013268
104,1803.9,2.95131,3.89481,2.04952,0.00265,0.39175,0.0042,0.00132,3.03376,4.25711,2.17281,0.0013202,0.0013202,0.0013202
105,1821.46,2.93183,3.79142,1.96683,0.00201,0.61856,0.00339,0.00104,2.86642,4.07891,2.02553,0.0013136,0.0013136,0.0013136
106,1838.49,2.91908,3.74509,1.98832,0.00186,0.61856,0.00959,0.00271,2.80109,3.97648,2.01142,0.001307,0.001307,0.001307
107,1855.81,2.85161,3.82918,1.99902,0.00212,0.6701,0.00508,0.00146,2.80044,3.82978,1.98756,0.0013004,0.0013004,0.0013004
108,1872.9,2.90596,3.81152,2.02111,0.00207,0.65979,0.00572,0.00158,2.79101,3.84194,2.04333,0.0012938,0.0012938,0.0012938
109,1890.51,2.88149,3.6279,1.99303,0.00872,0.09278,0.00622,0.00183,2.8133,4.12077,2.01372,0.0012872,0.0012872,0.0012872
110,1907.53,2.91785,3.79158,2.02485,0.01069,0.09278,0.00681,0.00166,2.85901,3.82249,2.06618,0.0012806,0.0012806,0.0012806
111,1924.57,2.87656,3.76386,2.03248,0.00205,0.62887,0.01021,0.00436,2.87393,4.05057,2.03437,0.001274,0.001274,0.001274
112,1941.87,2.83203,3.81115,2.01196,0.00618,0.39175,0.00657,0.00184,2.89947,4.08446,2.06508,0.0012674,0.0012674,0.0012674
113,1959.65,2.84578,3.76543,1.96699,0.00351,0.49485,0.0073,0.00272,2.92166,4.25632,2.09195,0.0012608,0.0012608,0.0012608
114,1977.28,2.86656,3.6773,2.04628,0.00188,0.64948,0.00718,0.00251,2.74105,4.17338,1.97906,0.0012542,0.0012542,0.0012542
115,1994.45,2.72384,3.70931,1.97314,0.00254,0.53608,0.00474,0.00178,3.06562,4.35103,2.15917,0.0012476,0.0012476,0.0012476
116,2011.99,2.76296,3.78245,2.00017,0.00254,0.37113,0.00378,0.0011,3.06659,4.22043,2.17193,0.001241,0.001241,0.001241
117,2028.89,2.85607,3.68472,1.96884,0.00481,0.43299,0.01447,0.0045,2.79413,4.18099,2.01417,0.0012344,0.0012344,0.0012344
118,2046.23,2.79338,3.53825,1.94669,0.0519,0.02062,0.01239,0.00444,2.80565,4.00513,1.96294,0.0012278,0.0012278,0.0012278
119,2063.32,2.84443,3.74617,1.92003,0.00619,0.12371,0.00536,0.00165,2.85639,4.0283,2.00462,0.0012212,0.0012212,0.0012212
120,2080.83,2.92775,3.68087,1.99693,0.0251,0.04124,0.00868,0.00328,2.85235,3.81194,2.03609,0.0012146,0.0012146,0.0012146
121,2097.89,2.84678,3.55367,1.98876,0.00269,0.56701,0.00871,0.00234,2.85046,4.09253,2.03268,0.001208,0.001208,0.001208
122,2115.57,2.75142,3.64004,1.92081,0.0027,0.57732,0.01137,0.00322,2.86315,3.8321,2.02665,0.0012014,0.0012014,0.0012014
123,2132.72,2.75663,3.75606,1.94743,0.00227,0.65979,0.00523,0.00173,2.74721,4.31447,2.01862,0.0011948,0.0011948,0.0011948
124,2149.65,2.73623,3.51326,1.90966,0.00325,0.34021,0.00382,0.0013,3.02441,4.43537,2.17177,0.0011882,0.0011882,0.0011882
125,2167.05,2.79496,3.76938,1.95216,0.00374,0.56701,0.01,0.00272,2.76317,3.79489,1.94579,0.0011816,0.0011816,0.0011816
126,2184.06,2.74101,3.82366,1.92684,0.04067,0.10309,0.01797,0.00457,2.68183,3.8124,1.97265,0.001175,0.001175,0.001175
127,2201.81,2.74738,3.64336,1.92775,0.02975,0.01031,0.01001,0.00212,2.8821,3.88225,1.96864,0.0011684,0.0011684,0.0011684
128,2218.72,2.73845,3.45931,1.93218,0.04628,0.01031,0.01376,0.00517,2.76089,4.02775,1.94211,0.0011618,0.0011618,0.0011618
129,2236.4,2.73186,3.7609,1.92505,0.01097,0.24742,0.01347,0.0037,2.80326,3.84826,1.99788,0.0011552,0.0011552,0.0011552
130,2253.46,2.71866,3.66771,1.94431,0.04109,0.04124,0.02588,0.01046,2.88658,4.13464,2.07636,0.0011486,0.0011486,0.0011486
131,2271.18,2.799,3.46041,1.99669,0.1832,0.02062,0.02778,0.01417,2.77802,3.69273,2.02018,0.001142,0.001142,0.001142
132,2288.46,2.74376,3.51962,1.92178,0.01224,0.16495,0.00735,0.00231,2.83047,4.584,2.06395,0.0011354,0.0011354,0.0011354
133,2305.91,2.7865,3.44438,1.96137,0.00419,0.53608,0.01668,0.00579,2.93759,3.94984,2.0612,0.0011288,0.0011288,0.0011288
134,2322.99,2.80214,3.50008,1.95685,0.1095,0.03093,0.01458,0.00608,2.88239,4.30649,2.04979,0.0011222,0.0011222,0.0011222
135,2340.32,2.81328,3.39992,1.94884,0.05738,0.02062,0.0288,0.00995,2.68418,3.66893,1.97484,0.0011156,0.0011156,0.0011156
136,2357.43,2.6934,3.29725,1.86116,0.05027,0.02062,0.02232,0.00547,2.73933,3.89774,1.9625,0.001109,0.001109,0.001109
137,2374.44,2.68485,3.5694,1.8817,0.14065,0.03093,0.03532,0.01007,2.80702,3.79226,1.94423,0.0011024,0.0011024,0.0011024
138,2391.74,2.70737,3.53926,1.8987,0.02495,0.12371,0.01745,0.0056,2.88141,3.94083,2.22707,0.0010958,0.0010958,0.0010958
139,2408.78,2.71626,3.40307,1.90026,0.08156,0.03093,0.02854,0.0085,2.93863,4.17671,2.11679,0.0010892,0.0010892,0.0010892
140,2426.39,2.70826,3.45808,1.88275,0.1247,0.02062,0.0273,0.01373,2.90641,3.99263,2.06682,0.0010826,0.0010826,0.0010826
141,2444.31,2.7671,3.57875,1.94513,0.17086,0.02062,0.02686,0.01322,2.84429,3.98681,1.99895,0.001076,0.001076,0.001076
142,2461.9,2.71536,3.38893,1.91487,0.02138,0.02062,0.02386,0.01174,2.85849,3.87782,1.96828,0.0010694,0.0010694,0.0010694
143,2478.99,2.62019,3.43084,1.84049,0.04188,0.02062,0.03063,0.0106,2.97245,3.96292,2.12534,0.0010628,0.0010628,0.0010628
144,2496.54,2.69084,3.41364,1.87946,0.00617,0.41237,0.01284,0.00438,2.96237,4.04186,2.08897,0.0010562,0.0010562,0.0010562
145,2513.66,2.72586,3.42145,1.85376,0.10825,0.03093,0.02581,0.01151,2.81611,3.97416,2.00511,0.0010496,0.0010496,0.0010496
146,2531.3,2.70257,3.45591,1.94539,0.0981,0.02062,0.02781,0.01139,2.71495,3.60594,1.93833,0.001043,0.001043,0.001043
147,2548.37,2.76928,3.70543,1.97201,0.09066,0.04124,0.02801,0.00683,2.71755,3.75276,1.95222,0.0010364,0.0010364,0.0010364
148,2565.59,2.7124,3.48041,1.91637,0.04043,0.05155,0.01323,0.00319,2.8584,3.94909,1.97378,0.0010298,0.0010298,0.0010298
149,2582.91,2.70733,3.26101,1.88258,0.34049,0.02062,0.02709,0.00972,2.72671,4.42106,1.9405,0.0010232,0.0010232,0.0010232
150,2599.89,2.67093,3.24241,1.87386,0.03674,0.02062,0.02715,0.00845,2.75976,3.80172,1.95134,0.0010166,0.0010166,0.0010166
151,2617.31,2.69242,3.53128,1.8884,0.03549,0.02062,0.02961,0.01155,2.73025,3.65948,1.91988,0.00101,0.00101,0.00101
152,2634.59,2.66794,3.30999,1.86598,0.04521,0.05155,0.01452,0.00466,2.95147,4.37029,2.13702,0.0010034,0.0010034,0.0010034
153,2652.11,2.73405,3.60588,1.98509,0.0309,0.01031,0.01327,0.00364,2.78657,3.81514,1.97929,0.0009968,0.0009968,0.0009968
154,2669.24,2.68824,3.24432,1.8838,0.0384,0.04124,0.02708,0.00638,2.81795,3.82473,1.95005,0.0009902,0.0009902,0.0009902
155,2686.84,2.76558,3.28875,1.92735,0.05732,0.02062,0.01802,0.00558,2.72498,3.74859,1.94749,0.0009836,0.0009836,0.0009836
156,2703.83,2.61029,3.4745,1.81036,0.06119,0.03093,0.02952,0.01119,2.77747,3.74783,2.02157,0.000977,0.000977,0.000977
157,2721.59,2.66605,3.32557,1.87049,0.0051,0.49485,0.01351,0.00411,2.89325,3.92948,2.0695,0.0009704,0.0009704,0.0009704
158,2738.89,2.7216,3.28772,1.8842,0.18374,0.03093,0.03399,0.00814,2.81218,3.75831,2.03506,0.0009638,0.0009638,0.0009638
159,2756.53,2.64442,3.24925,1.86212,0.07548,0.04124,0.02403,0.00742,2.86053,3.96835,2.00452,0.0009572,0.0009572,0.0009572
160,2773.72,2.72601,3.35599,1.84028,0.06512,0.06186,0.01958,0.00475,2.78775,4.68065,1.91775,0.0009506,0.0009506,0.0009506
161,2790.98,2.76121,3.43683,1.92628,0.02874,0.08247,0.0138,0.00359,2.81472,3.70622,1.94823,0.000944,0.000944,0.000944
162,2808.55,2.67998,3.24991,1.86635,0.04216,0.02062,0.02513,0.00891,2.95006,4.01465,2.12522,0.0009374,0.0009374,0.0009374
163,2825.72,2.70865,3.23998,1.87446,0.02731,0.02062,0.01591,0.00447,2.83926,3.79817,1.97932,0.0009308,0.0009308,0.0009308
164,2843.55,2.67297,3.26521,1.90484,0.0703,0.03093,0.03061,0.01211,2.82556,3.63033,1.97365,0.0009242,0.0009242,0.0009242
165,2860.78,2.732,3.21805,1.91597,0.09056,0.03093,0.01858,0.00792,3.05313,4.24947,2.20961,0.0009176,0.0009176,0.0009176
166,2878.43,2.75996,3.28843,1.93346,0.07242,0.04124,0.02348,0.0077,2.90194,3.67061,2.05028,0.000911,0.000911,0.000911
